,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI
2003-10-29,104.769997,105.43,103.870003,105.18,73.8834788447,30955400,0.0000,1.0,72.1253,73.0200,59.8489
2003-10-28,103.980003,105.150002,103.82,105.040001,73.7851368296,34956200,0.0000,1.0,72.0592,72.9337,59.1487
2003-10-27,103.739998,104.18,103.269997,103.629997,72.7946823638,32460200,0.0000,1.0,71.9897,72.8486,51.1869
2003-10-24,102.830002,103.580002,102.18,103.580002,72.7595634769,51723600,0.0000,1.0,71.9279,72.8539,50.8716
2003-10-23,102.889999,103.949997,102.839996,103.349998,72.5979976311,45830500,0.0000,1.0,71.8626,72.8634,49.4777
2003-10-22,104.029999,104.190002,103.190002,103.540001,72.7314648552,33914500,0.0000,1.0,71.7967,72.8899,50.5785
2003-10-21,104.82,105.279999,104.32,104.860001,73.6586961926,26729100,0.0000,1.0,71.7353,72.9058,59.0542
2003-10-20,104.449997,105.040001,103.940002,105.040001,73.7851368296,27657000,0.0000,1.0,71.6427,72.8305,60.3344
2003-10-17,105.470001,105.629997,103.980003,104.260002,73.2372281053,32790300,0.0000,1.0,71.5424,72.7350,56.5436
2003-10-16,104.68,105.730003,104.650002,105.410004,74.0450446906,32772200,0.0000,1.0,71.4492,72.6848,65.0553
2003-10-15,105.860001,105.889999,104.639999,104.989998,73.7500123231,39021700,0.0000,1.0,71.3255,72.5488,63.1754
2003-10-14,104.800003,105.43,104.360001,105.269997,73.9466970559,38484400,0.0000,1.0,71.1999,72.4286,65.3517
2003-10-13,104.709999,105.290001,104.510002,104.900002,73.6867948144,23825600,0.0000,1.0,71.0996,72.2768,63.8225
2003-10-10,104.269997,104.599998,103.910004,104.57,73.4549855751,22682800,0.0000,1.0,71.0045,72.1358,62.4499
2003-10-09,104.879997,105.220001,103.830002,104.279999,73.2512749576,40066500,0.0000,1.0,70.9264,72.0039,61.2502
2003-10-08,104.330002,104.389999,103.410004,104.0,73.0545902249,30920800,0.0000,1.0,70.8491,71.8792,60.1075
2003-10-07,103.260002,104.309998,102.910004,104.260002,73.2372281053,42602900,0.0000,1.0,70.7791,71.7616,61.6757
2003-10-06,103.480003,103.989998,103.199997,103.860001,72.9562482097,20226500,0.0000,1.0,70.7119,71.6141,60.1920
2003-10-03,103.669998,104.279999,103.080002,103.389999,72.6260962528,48806900,0.0000,1.0,70.6555,71.4799,58.4363
2003-10-02,101.93,102.559998,101.629997,102.449997,71.965793744,44591500,0.0000,1.0,70.5813,71.3652,54.7283
2003-10-01,100.239998,102.18,100.199997,102.080002,71.7058915025,65797600,0.0000,1.0,70.5309,71.3052,53.2024
2003-09-30,100.480003,100.760002,99.25,99.949997,70.2096737867,70764500,0.0000,1.0,70.4846,71.2651,42.9171
2003-09-29,100.300003,100.989998,99.790001,100.93,70.8980749173,36771600,0.0000,1.0,70.4558,71.3706,47.3645
2003-09-26,100.440002,100.660004,99.849998,99.949997,70.2096737867,42914700,0.0000,1.0,70.4305,71.4179,41.7604
2003-09-25,101.410004,101.879997,100.199997,100.279999,70.4414830259,52673100,0.0000,1.0,70.4048,71.5387,43.1985
2003-09-24,103.120003,103.220001,101.07,101.110001,71.0245162567,41694700,0.0000,1.0,70.3944,71.6484,46.9769
2003-09-23,102.589996,103.290001,102.360001,102.940002,72.3099967679,32489200,0.0000,1.0,70.3805,71.7108,57.2239
2003-09-22,102.849998,102.959999,102.029999,102.550003,72.036042757,36677400,0.0000,1.0,70.3440,71.6509,55.2941
2003-09-19,104.269997,104.599998,103.400002,103.669998,72.8227809856,34331600,0.4001,1.0,70.3062,71.6124,62.8558
2003-09-18,103.400002,104.699997,103.169998,104.599998,73.1936052678,30243600,0.0000,1.0,70.2394,71.4914,66.8575
2003-09-17,103.480003,103.790001,103.050003,103.379997,72.3399124062,31885800,0.0000,1.0,70.1832,71.3211,61.6363
2003-09-16,102.230003,103.639999,102.169998,103.580002,72.4798654396,37892600,0.0000,1.0,70.1519,71.2193,63.1508
2003-09-15,102.519997,102.629997,101.949997,102.089996,71.4372372074,21312800,0.0000,1.0,70.1116,71.0932,55.6048
2003-09-12,101.910004,102.639999,101.349998,102.449997,71.6891470696,42524800,0.0000,1.0,70.0648,71.0588,58.2825
2003-09-11,102.099998,102.760002,101.839996,102.260002,71.5561985104,38396300,0.0000,1.0,70.0272,70.9958,57.2742
2003-09-10,102.529999,102.800003,101.550003,101.959999,71.346272109,45904900,0.0000,1.0,69.9750,70.9397,55.7044
2003-09-09,103.370003,103.459999,102.68,103.0,72.0740103894,35053200,0.0000,1.0,69.9144,70.8991,63.1760
2003-09-08,103.040001,103.879997,102.93,103.68,72.5498388075,32632800,0.0000,1.0,69.8397,70.7816,68.7769
2003-09-05,102.940002,103.550003,102.400002,102.830002,71.9550546844,31637300,0.0000,1.0,69.7714,70.6048,65.1954
2003-09-04,103.099998,103.550003,102.760002,103.410004,72.3609097346,28381000,0.0000,1.0,69.6972,70.4697,70.3052
2003-09-03,103.029999,103.699997,102.779999,103.360001,72.3259202517,44912400,0.0000,1.0,69.6288,70.2806,70.1177
2003-09-02,101.639999,102.879997,101.050003,102.800003,71.9340629539,49419100,0.0000,1.0,69.5597,70.0761,68.0177
2003-08-29,100.610001,101.480003,100.480003,101.440002,70.982405418,28706600,0.0000,1.0,69.5127,69.8903,61.9947
2003-08-28,100.400002,101.0,99.660004,100.760002,70.5065769998,27402400,0.0000,1.0,69.4877,69.7811,58.3532
2003-08-27,100.050003,100.360001,99.57,100.139999,70.0727313429,18919500,0.0000,1.0,69.4939,69.7085,54.6766
2003-08-26,99.5,100.389999,98.830002,100.110001,70.0517403122,45065800,0.0000,1.0,69.5101,69.6721,54.4961
2003-08-25,99.709999,100.830002,99.279999,99.93,69.9257850312,23473000,0.0000,1.0,69.5266,69.6341,53.4635
2003-08-22,101.75,101.82,99.730003,99.769997,69.8138233042,52040300,0.0000,1.0,69.5164,69.6050,52.5753
2003-08-21,101.050003,101.519997,100.400002,100.769997,70.5135709778,46494200,0.0000,1.0,69.5231,69.5841,59.1245
2003-08-20,100.290001,100.889999,100.160004,100.449997,70.2896517223,21295300,0.0000,1.0,69.5114,69.4911,57.5534
2003-08-19,100.690002,100.940002,100.0,100.860001,70.5765510675,37437700,0.0000,1.0,69.4896,69.4113,60.3115
2003-08-18,99.93,100.599998,99.739998,100.480003,70.310648351,22873800,0.0000,1.0,69.4481,69.2948,58.6042
2003-08-15,99.360001,99.790001,99.120003,99.620003,69.7088653516,12567000,0.0000,1.0,69.4261,69.1932,54.4901
2003-08-14,99.099998,99.75,98.449997,99.309998,69.491940074,35525100,0.0000,1.0,69.4214,69.1416,52.9241
2003-08-13,99.82,99.849998,98.529999,99.040001,69.3030103014,36152000,0.0000,1.0,69.4143,69.1066,51.5765
2003-08-12,98.709999,99.589996,98.419998,99.550003,69.6598830144,43285600,0.0000,1.0,69.3913,69.0869,54.3030
2003-08-11,98.260002,99.040001,97.839996,98.650002,69.0301094084,34631400,0.0000,1.0,69.3556,69.0296,49.9691
2003-08-08,98.32,98.550003,97.760002,98.279999,68.7712006699,27357300,0.0000,1.0,69.3270,69.0296,48.0896
2003-08-07,97.169998,98.07,96.760002,98.0,68.575272021,43427400,0.0000,1.0,69.2821,69.0554,46.6822
2003-08-06,96.690002,98.059998,96.419998,96.980003,67.8615314931,50096900,0.0000,1.0,69.2447,69.1034,41.2985
2003-08-05,98.410004,98.760002,96.339996,96.419998,67.4696692971,61415600,0.0000,1.0,69.2177,69.2276,38.1127
2003-08-04,98.309998,99.0,97.0,98.510002,68.9321447341,55214100,0.0000,1.0,69.1758,69.4034,46.9414
2003-08-01,99.190002,99.529999,98.239998,98.510002,68.9321447341,49321000,0.0000,1.0,69.1019,69.4506,46.9414
2003-07-31,99.980003,100.910004,99.169998,99.389999,69.5479205877,54937200,0.0000,1.0,69.0152,69.5024,51.2516
2003-07-30,99.599998,99.75,98.93,99.160004,69.3869821215,28363300,0.0000,1.0,68.9136,69.4979,50.1405
2003-07-29,100.139999,100.260002,98.68,99.400002,69.5549201636,53472100,0.0000,1.0,68.8178,69.5089,51.2728
2003-07-28,100.370003,100.980003,99.669998,99.860001,69.8768033938,34382800,0.0000,1.0,68.7496,69.5043,53.4199
2003-07-25,98.660004,100.290001,98.040001,100.230003,70.1357114325,43241100,0.0000,1.0,68.6783,69.4671,55.1447
2003-07-24,99.989998,100.339996,98.370003,98.489998,68.9181469816,40896200,0.0000,1.0,68.5935,69.4002,47.7825
2003-07-23,99.209999,99.449997,98.279999,99.239998,69.4429577369,37275400,0.0000,1.0,68.5358,69.4484,51.1422
2003-07-22,98.690002,99.410004,97.919998,99.169998,69.3939753997,49968300,0.0000,1.0,68.4700,69.4490,50.8427
2003-07-21,99.449997,99.489998,97.849998,98.279999,68.7712006699,34786000,0.0000,1.0,68.3891,69.4545,47.0068
2003-07-18,99.019997,99.800003,98.459999,99.510002,69.6318924077,35698100,0.0000,1.0,68.3029,69.5228,52.2379
2003-07-17,99.150002,99.879997,98.160004,98.5,68.9251458578,52253500,0.0000,1.0,68.2125,69.5119,47.8094
2003-07-16,100.809998,100.870003,99.230003,99.919998,69.918786155,39894200,0.0000,1.0,68.1435,69.5706,54.3936
2003-07-15,101.379997,101.459999,99.949997,100.510002,70.3316400814,42573600,0.0000,1.0,68.0424,69.5358,57.4459
2003-07-14,101.199997,101.900002,100.449997,100.730003,70.4855852694,42114900,0.0000,1.0,67.9355,69.4562,58.5842
2003-07-11,99.389999,100.449997,99.389999,100.239998,70.1427054105,39976300,0.0000,1.0,67.8073,69.3533,56.8144
2003-07-10,99.839996,100.040001,98.629997,99.300003,69.484946096,49777700,0.0000,1.0,67.6861,69.2743,53.2563
2003-07-09,100.919998,101.400002,100.029999,100.580002,70.3806224186,36528500,0.0000,1.0,67.5808,69.2533,59.4496
2003-07-08,100.5,101.290001,100.169998,101.150002,70.7794785926,30952500,0.0000,1.0,67.4531,69.1405,62.4529
2003-07-07,99.650002,100.900002,99.650002,100.699997,70.4645886407,31391100,0.0000,1.0,67.2958,68.9766,61.0089
